Size,Instance ID,Computing_time,Obj,Cmax,Delay
s,1,0.0339608192443847,114.0,96.0,18.0
s,2,0.1471941471099853,231.0,145.0,86.0
s,3,0.151749849319458,258.0,193.0,65.0
s,4,0.1393959522247314,204.0,164.0,40.0
s,5,0.1381986141204834,335.0,196.0,139.0
s,6,0.2357771396636963,552.0,249.0,303.0
s,7,0.4389848709106445,494.0,263.0,231.0
s,8,0.3366823196411133,652.0,267.0,385.0
s,9,0.1469249725341797,340.0,150.0,190.0
s,10,0.3039970397949219,747.0,309.0,438.0
s,11,0.2616722583770752,478.0,229.0,249.0
s,12,0.1243660449981689,290.0,153.0,137.0
s,13,0.4900038242340088,507.0,256.0,251.0
s,14,1.3283331394195557,281.0,207.0,74.0
s,15,0.0670709609985351,263.0,180.0,83.0
s,16,0.1916227340698242,494.0,241.0,253.0
s,17,0.0595362186431884,253.0,176.0,77.0
s,18,0.3353331089019775,474.0,253.0,221.0
s,19,0.3207972049713135,477.0,225.0,252.0
s,20,0.5693790912628174,865.0,356.0,509.0
s,21,0.0795428752899169,300.0,221.0,79.0
s,22,0.1120519638061523,448.0,232.0,216.0
s,23,0.3358139991760254,498.0,278.0,220.0
s,24,0.1483290195465088,324.0,186.0,138.0
s,25,0.1079459190368652,248.0,162.0,86.0
s,26,0.1205759048461914,205.0,143.0,62.0
s,27,0.0279316902160644,110.0,86.0,24.0
s,28,0.2916407585144043,380.0,204.0,176.0
s,29,0.0764038562774658,286.0,169.0,117.0
s,30,0.2036097049713134,354.0,169.0,185.0
s,31,0.1922440528869629,509.0,229.0,280.0
s,32,0.3908548355102539,334.0,212.0,122.0
s,33,0.0928971767425537,237.0,158.0,79.0
s,34,0.0805130004882812,272.0,169.0,103.0
s,35,0.1408541202545166,470.0,266.0,204.0
s,36,0.1468639373779297,294.0,198.0,96.0
s,37,0.1270310878753662,187.0,134.0,53.0
s,38,0.1742169857025146,208.0,155.0,53.0
s,39,0.6268260478973389,627.0,269.0,358.0
s,40,0.030851125717163,192.0,133.0,59.0
s,41,0.2703778743743896,447.0,271.0,176.0
s,42,0.4149909019470215,391.0,244.0,147.0
s,43,0.3048748970031738,432.0,228.0,204.0
s,44,0.1504430770874023,234.0,151.0,83.0
s,45,0.2803730964660644,449.0,238.0,211.0
s,46,0.0800089836120605,232.0,126.0,106.0
s,47,0.0806999206542968,295.0,183.0,112.0
s,48,0.3343029022216797,291.0,197.0,94.0
s,49,0.3459799289703369,566.0,296.0,270.0
s,50,0.0751898288726806,128.0,128.0,0.0
m,1,0.7709240913391113,848.0,298.0,550.0
m,2,0.9668610095977784,712.0,314.0,398.0
m,3,0.9696850776672364,720.0,309.0,411.0
m,4,0.9420878887176514,854.0,330.0,524.0
m,5,1.6147689819335938,1386.0,447.0,939.0
m,6,1.1877329349517822,1242.0,452.0,790.0
m,7,1.9281880855560305,1817.0,527.0,1290.0
m,8,1.9326908588409424,2048.0,551.0,1497.0
m,9,1.5257511138916016,881.0,420.0,461.0
m,10,1.2911229133605957,1215.0,445.0,770.0
m,11,1.082664966583252,877.0,367.0,510.0
m,12,1.5223619937896729,1643.0,484.0,1159.0
m,13,0.589749813079834,878.0,384.0,494.0
m,14,1.0074281692504885,1234.0,401.0,833.0
m,15,0.8848080635070801,1262.0,364.0,898.0
m,16,0.5534558296203613,1001.0,305.0,696.0
m,17,0.7063570022583008,582.0,288.0,294.0
m,18,1.91141414642334,1805.0,519.0,1286.0
m,19,1.411099195480347,1252.0,392.0,860.0
m,20,1.726731777191162,1956.0,512.0,1444.0
m,21,1.1699399948120115,1316.0,460.0,856.0
m,22,1.053004026412964,1437.0,498.0,939.0
m,23,0.6677548885345459,924.0,381.0,543.0
m,24,2.2821640968322754,1722.0,513.0,1209.0
m,25,0.7218859195709229,850.0,300.0,550.0
m,26,0.8738179206848145,888.0,323.0,565.0
m,27,1.0673003196716309,1608.0,468.0,1140.0
m,28,1.3008990287780762,1305.0,458.0,847.0
m,29,1.024212121963501,1392.0,438.0,954.0
m,30,0.9756898880004884,949.0,364.0,585.0
m,31,0.7133569717407227,1239.0,395.0,844.0
m,32,1.3313779830932615,1334.0,453.0,881.0
m,33,1.483344793319702,1242.0,397.0,845.0
m,34,1.245203971862793,1335.0,438.0,897.0
m,35,1.397469997406006,1549.0,465.0,1084.0
m,36,1.7760341167449951,1675.0,518.0,1157.0
m,37,0.7722251415252686,750.0,299.0,451.0
m,38,1.8162500858306885,1691.0,542.0,1149.0
m,39,1.2899169921875,1615.0,514.0,1101.0
m,40,1.3275699615478516,1564.0,472.0,1092.0
m,41,1.7930428981781006,1973.0,557.0,1416.0
m,42,1.6958909034729004,1731.0,531.0,1200.0
m,43,1.329606294631958,1314.0,421.0,893.0
m,44,1.148771047592163,1752.0,554.0,1198.0
m,45,1.8724539279937744,1370.0,464.0,906.0
m,46,1.059372901916504,1436.0,473.0,963.0
m,47,0.8464889526367188,817.0,339.0,478.0
m,48,1.463520050048828,1547.0,477.0,1070.0
m,49,1.5648210048675537,1529.0,430.0,1099.0
m,50,1.8734941482543943,2586.0,679.0,1907.0
l,1,4.806642055511475,3394.0,730.0,2664.0
l,2,3.914720058441162,3384.0,719.0,2665.0
l,3,4.756436109542847,4176.0,765.0,3411.0
l,4,4.731507062911987,4100.0,799.0,3301.0
l,5,6.921052932739258,5160.0,871.0,4289.0
l,6,4.396456003189087,3695.0,754.0,2941.0
l,7,5.621857166290283,4220.0,854.0,3366.0
l,8,3.5182390213012695,3597.0,740.0,2857.0
l,9,4.498141050338745,3963.0,771.0,3192.0
l,10,3.6339828968048096,3677.0,718.0,2959.0
l,11,4.518857955932617,3208.0,716.0,2492.0
l,12,6.235901117324829,5584.0,967.0,4617.0
l,13,3.7320940494537354,3665.0,789.0,2876.0
l,14,4.075222015380859,3254.0,655.0,2599.0
l,15,5.0377490520477295,4656.0,830.0,3826.0
l,16,4.892902851104736,4083.0,730.0,3353.0
l,17,5.856176853179932,5464.0,897.0,4567.0
l,18,7.694005012512207,7284.0,1104.0,6180.0
l,19,5.846755027770996,5675.0,986.0,4689.0
l,20,5.387593984603882,4464.0,773.0,3691.0
l,21,6.997434854507446,5693.0,918.0,4775.0
l,22,4.880424976348877,4517.0,894.0,3623.0
l,23,7.454882144927979,5149.0,831.0,4318.0
l,24,4.201805114746094,2838.0,638.0,2200.0
l,25,6.654721736907959,4533.0,845.0,3688.0
l,26,4.032033681869507,3681.0,743.0,2938.0
l,27,5.600159168243408,4840.0,937.0,3903.0
l,28,4.449211835861206,3738.0,741.0,2997.0
