Size,Instance ID,Computing_time,Obj,Cmax,Delay
s,1,0.0259850025177001,142.0,110.0,32.0
s,2,0.0573439598083496,248.0,160.0,88.0
s,3,0.0582108497619628,321.0,210.0,111.0
s,4,0.0566489696502685,327.0,199.0,128.0
s,5,0.0525672435760498,335.0,196.0,139.0
s,6,0.0677471160888671,741.0,294.0,447.0
s,7,0.0664839744567871,494.0,263.0,231.0
s,8,0.071042776107788,698.0,314.0,384.0
s,9,0.0351150035858154,340.0,150.0,190.0
s,10,0.0671339035034179,684.0,271.0,413.0
s,11,0.0678598880767822,478.0,229.0,249.0
s,12,0.0292170047760009,333.0,165.0,168.0
s,13,0.0819640159606933,539.0,267.0,272.0
s,14,0.0635449886322021,281.0,207.0,74.0
s,15,0.0379130840301513,263.0,180.0,83.0
s,16,0.055920124053955,627.0,284.0,343.0
s,17,0.0371358394622802,253.0,176.0,77.0
s,18,0.0772857666015625,486.0,257.0,229.0
s,19,0.0658910274505615,477.0,225.0,252.0
s,20,0.1043660640716552,1123.0,424.0,699.0
s,21,0.0509078502655029,300.0,221.0,79.0
s,22,0.0533640384674072,583.0,245.0,338.0
s,23,0.0628890991210937,498.0,278.0,220.0
s,24,0.0590200424194335,304.0,195.0,109.0
s,25,0.0337758064270019,248.0,162.0,86.0
s,26,0.0455002784729003,233.0,180.0,53.0
s,27,0.0260705947875976,104.0,86.0,18.0
s,28,0.0650272369384765,390.0,205.0,185.0
s,29,0.0440638065338134,286.0,169.0,117.0
s,30,0.0404720306396484,412.0,194.0,218.0
s,31,0.0579469203948974,527.0,233.0,294.0
s,32,0.0670747756958007,362.0,238.0,124.0
s,33,0.0345759391784668,238.0,158.0,80.0
s,34,0.0439119338989257,272.0,169.0,103.0
s,35,0.0568711757659912,470.0,266.0,204.0
s,36,0.0411479473114013,294.0,198.0,96.0
s,37,0.0329399108886718,227.0,149.0,78.0
s,38,0.0578899383544921,230.0,163.0,67.0
s,39,0.1018259525299072,621.0,265.0,356.0
s,40,0.0262689590454101,192.0,133.0,59.0
s,41,0.0639512538909912,455.0,291.0,164.0
s,42,0.0640628337860107,417.0,245.0,172.0
s,43,0.0639081001281738,423.0,225.0,198.0
s,44,0.0482399463653564,286.0,167.0,119.0
s,45,0.0709478855133056,462.0,224.0,238.0
s,46,0.036607027053833,232.0,126.0,106.0
s,47,0.0353190898895263,301.0,183.0,118.0
s,48,0.0667729377746582,291.0,197.0,94.0
s,49,0.0756242275238037,587.0,267.0,320.0
s,50,0.0481338500976562,186.0,131.0,55.0
m,1,0.0807349681854248,846.0,298.0,548.0
m,2,0.0955009460449218,774.0,317.0,457.0
m,3,0.1180999279022216,745.0,319.0,426.0
m,4,0.0998129844665527,806.0,316.0,490.0
m,5,0.1472210884094238,1452.0,450.0,1002.0
