Size,Instance ID,Computing_time,Obj,Cmax,Delay
s,1,0.0239858627319335,142.0,110.0,32.0
s,2,0.0530190467834472,248.0,160.0,88.0
s,3,0.0525271892547607,321.0,210.0,111.0
s,4,0.0516219139099121,327.0,199.0,128.0
s,5,0.0477011203765869,335.0,196.0,139.0
s,6,0.0610837936401367,741.0,294.0,447.0
s,7,0.0603866577148437,494.0,263.0,231.0
s,8,0.0656211376190185,718.0,319.0,399.0
s,9,0.0305531024932861,340.0,150.0,190.0
s,10,0.0596349239349365,684.0,271.0,413.0
s,11,0.0642399787902832,478.0,229.0,249.0
s,12,0.0273044109344482,333.0,165.0,168.0
s,13,0.0731980800628662,539.0,267.0,272.0
s,14,0.0584039688110351,281.0,207.0,74.0
s,15,0.0324139595031738,263.0,180.0,83.0
s,16,0.0500638484954834,647.0,289.0,358.0
s,17,0.032240867614746,290.0,176.0,114.0
s,18,0.0740439891815185,486.0,257.0,229.0
s,19,0.0602586269378662,477.0,225.0,252.0
s,20,0.0902180671691894,1138.0,429.0,709.0
s,21,0.0457279682159423,300.0,221.0,79.0
s,22,0.0488178730010986,583.0,245.0,338.0
s,23,0.0568151473999023,524.0,266.0,258.0
s,24,0.0515639781951904,304.0,195.0,109.0
s,25,0.0318949222564697,248.0,162.0,86.0
s,26,0.0413410663604736,233.0,180.0,53.0
s,27,0.0241339206695556,110.0,86.0,24.0
s,28,0.0599942207336425,417.0,208.0,209.0
s,29,0.0410947799682617,369.0,214.0,155.0
s,30,0.0372669696807861,412.0,194.0,218.0
s,31,0.0523998737335205,545.0,240.0,305.0
s,32,0.0595500469207763,382.0,243.0,139.0
s,33,0.0300939083099365,238.0,158.0,80.0
s,34,0.04010009765625,272.0,169.0,103.0
s,35,0.0534837245941162,470.0,266.0,204.0
s,36,0.0372848510742187,343.0,216.0,127.0
s,37,0.0305039882659912,242.0,154.0,88.0
s,38,0.0520260334014892,230.0,163.0,67.0
s,39,0.095674991607666,621.0,265.0,356.0
s,40,0.0241510868072509,192.0,133.0,59.0
s,41,0.0549101829528808,455.0,291.0,164.0
s,42,0.058938980102539,427.0,250.0,177.0
s,43,0.0596659183502197,423.0,225.0,198.0
s,44,0.0435578823089599,286.0,167.0,119.0
s,45,0.0635483264923095,456.0,223.0,233.0
s,46,0.0334618091583251,232.0,126.0,106.0
s,47,0.0321078300476074,301.0,183.0,118.0
s,48,0.0602979660034179,291.0,197.0,94.0
s,49,0.0691370964050293,587.0,267.0,320.0
s,50,0.0441758632659912,186.0,131.0,55.0
m,1,0.0734951496124267,846.0,298.0,548.0
m,2,0.084568977355957,774.0,317.0,457.0
m,3,0.0899672508239746,745.0,319.0,426.0
m,4,0.0877060890197753,806.0,316.0,490.0
m,5,0.1281039714813232,1522.0,492.0,1030.0
m,6,0.1101660728454589,1244.0,442.0,802.0
m,7,0.1505770683288574,1895.0,514.0,1381.0
m,8,0.1361737251281738,2016.0,574.0,1442.0
m,9,0.1237730979919433,1016.0,423.0,593.0
m,10,0.1177911758422851,1237.0,448.0,789.0
m,11,0.0972299575805664,930.0,360.0,570.0
m,12,0.1240711212158203,1625.0,476.0,1149.0
m,13,0.0968062877655029,1093.0,423.0,670.0
m,14,0.1049170494079589,1292.0,420.0,872.0
m,15,0.0814080238342285,1307.0,359.0,948.0
m,16,0.0676648616790771,1049.0,333.0,716.0
m,17,0.0865471363067627,645.0,321.0,324.0
m,18,0.1427180767059326,1836.0,518.0,1318.0
m,19,0.1119539737701416,1368.0,448.0,920.0
m,20,0.1492178440093994,1920.0,516.0,1404.0
m,21,0.1147940158843994,1439.0,479.0,960.0
m,22,0.1044642925262451,1870.0,553.0,1317.0
m,23,0.0986709594726562,924.0,381.0,543.0
m,24,0.1438488960266113,1798.0,543.0,1255.0
