Size,Instance ID,Status,Gap,Computing_time,Obj,Cmax,Delay
s,0,,,,,,
s,1,optimal,0.0,0.1035475730895996,114.0,96.0,18.0
s,2,optimal,0.0,0.2087342739105224,212.0,142.0,70.0
s,3,optimal,0.0,0.2652871608734131,258.0,193.0,65.0
s,4,optimal,0.0,0.1764059066772461,186.0,153.0,33.0
s,5,optimal,0.0,0.1980071067810058,335.0,196.0,139.0
s,6,optimal,0.0,0.2489628791809082,520.0,245.0,275.0
s,7,optimal,0.0,0.2757062911987304,494.0,263.0,231.0
s,8,optimal,0.0,0.6565773487091064,568.0,267.0,301.0
s,9,optimal,0.0,0.1599283218383789,339.0,168.0,171.0
s,10,optimal,0.0,0.2637934684753418,656.0,277.0,379.0
s,11,optimal,0.0,0.2559962272644043,461.0,220.0,241.0
s,12,optimal,0.0,0.1061329841613769,277.0,149.0,128.0
s,13,optimal,0.0,0.3640580177307129,465.0,257.0,208.0
s,14,optimal,0.0,0.2091569900512695,281.0,207.0,74.0
s,15,optimal,0.0,0.1618833541870117,263.0,180.0,83.0
s,16,optimal,0.0,0.2055695056915283,494.0,241.0,253.0
s,17,optimal,0.0,0.1611042022705078,252.0,152.0,100.0
s,18,optimal,0.0,0.2798523902893066,430.0,231.0,199.0
s,19,optimal,0.0,0.5354456901550293,477.0,225.0,252.0
s,20,optimal,0.0,2.0027074813842773,803.0,346.0,457.0
s,21,optimal,0.0,0.1292502880096435,288.0,192.0,96.0
s,22,optimal,0.0,0.2750067710876465,448.0,232.0,216.0
s,23,optimal,0.0,0.4204506874084472,481.0,220.0,261.0
s,24,optimal,0.0,0.2410128116607666,302.0,194.0,108.0
s,25,optimal,0.0,0.1112864017486572,225.0,162.0,63.0
s,26,optimal,0.0,0.1847574710845947,183.0,143.0,40.0
s,27,optimal,0.0,0.1151084899902343,104.0,86.0,18.0
s,28,optimal,0.0,0.4533483982086181,348.0,208.0,140.0
s,29,optimal,0.0,0.1673667430877685,286.0,169.0,117.0
s,30,optimal,0.0,0.1904869079589843,342.0,169.0,173.0
s,31,optimal,0.0,0.1845819950103759,480.0,229.0,251.0
s,32,optimal,0.0,0.4240522384643554,312.0,212.0,100.0
s,33,optimal,0.0,0.1216874122619628,237.0,158.0,79.0
s,34,optimal,0.0,0.1277754306793213,272.0,169.0,103.0
s,35,optimal,0.0,0.2302772998809814,470.0,266.0,204.0
s,36,optimal,0.0,0.2033376693725586,287.0,194.0,93.0
s,37,optimal,0.0,0.1624114513397216,187.0,134.0,53.0
s,38,optimal,0.0,0.1837003231048584,208.0,155.0,53.0
s,39,optimal,0.0,1.940211534500122,603.0,262.0,341.0
s,40,optimal,0.0,0.1046326160430908,192.0,133.0,59.0
s,41,optimal,0.0,0.3226540088653564,415.0,252.0,163.0
s,42,optimal,0.0,0.9853949546813964,391.0,244.0,147.0
s,43,optimal,0.0,0.519669771194458,423.0,225.0,198.0
s,44,optimal,0.0,0.1273009777069091,234.0,151.0,83.0
s,45,optimal,0.0,0.7132585048675537,394.0,207.0,187.0
s,46,optimal,0.0,0.1296029090881347,232.0,126.0,106.0
s,47,optimal,0.0,0.0976889133453369,295.0,183.0,112.0
s,48,optimal,0.0,0.4656522274017334,275.0,182.0,93.0
s,49,optimal,0.0,0.5042526721954346,526.0,288.0,238.0
s,50,optimal,0.0,0.1207337379455566,127.0,127.0,0.0
m,0,,,,,,
m,1,optimal,0.0,6.0842344760894775,781.0,285.0,496.0
m,2,optimal,0.0,5.73504638671875,712.0,314.0,398.0
m,3,optimal,0.0,7.650988340377808,662.0,300.0,362.0
m,4,optimal,0.0,10.714427947998049,746.0,296.0,450.0
m,5,optimal,0.0,2167.433125734329,1379.0,445.0,934.0
m,6,optimal,0.0,122.16107702255248,1188.0,429.0,759.0
m,7,feasible,0.2109890109874653,86405.94891095161,1653.0,486.0,1167.0
m,8,feasible,0.1879927228612007,86403.9781126976,1959.0,526.0,1433.0
m,9,optimal,0.0,163.4642083644867,811.0,406.0,405.0
m,10,optimal,0.0,305.3470079898834,1183.0,441.0,742.0
