Size,Instance ID,Computing_time,Obj,Cmax,Delay
s,0,,,,
s,1,0.0494329929351806,142.0,110.0,32.0
s,2,0.1098799705505371,248.0,160.0,88.0
s,3,0.1173529624938964,321.0,210.0,111.0
s,4,0.1060192584991455,204.0,164.0,40.0
s,5,0.1079590320587158,397.0,216.0,181.0
s,6,0.1234769821166992,520.0,245.0,275.0
s,7,0.1325440406799316,527.0,261.0,266.0
s,8,0.1329526901245117,806.0,314.0,492.0
s,9,0.0629823207855224,340.0,150.0,190.0
s,10,0.1346302032470703,668.0,280.0,388.0
s,11,0.1460390090942382,480.0,230.0,250.0
s,12,0.062018871307373,290.0,153.0,137.0
s,13,0.2777302265167236,483.0,260.0,223.0
s,14,0.1261050701141357,466.0,258.0,208.0
s,15,0.0663442611694336,270.0,156.0,114.0
s,16,0.0993683338165283,526.0,212.0,314.0
s,17,0.0659756660461425,255.0,176.0,79.0
s,18,0.1539328098297119,465.0,242.0,223.0
s,19,0.1206912994384765,513.0,228.0,285.0
s,20,0.189302921295166,1183.0,395.0,788.0
s,21,0.0924627780914306,297.0,195.0,102.0
s,22,0.1029229164123535,599.0,266.0,333.0
s,23,0.1314198970794677,498.0,278.0,220.0
s,24,0.1108400821685791,304.0,195.0,109.0
s,25,0.0664067268371582,248.0,162.0,86.0
s,26,0.0933780670166015,233.0,180.0,53.0
s,27,0.0495839118957519,104.0,86.0,18.0
s,28,0.1345570087432861,390.0,205.0,185.0
s,29,0.0904388427734375,286.0,169.0,117.0
s,30,0.0748591423034668,383.0,189.0,194.0
s,31,0.1115450859069824,480.0,229.0,251.0
s,32,0.1297197341918945,367.0,238.0,129.0
s,33,0.062838077545166,256.0,158.0,98.0
s,34,0.0816061496734619,272.0,169.0,103.0
s,35,0.1140849590301513,501.0,244.0,257.0
s,36,0.0863349437713623,437.0,214.0,223.0
s,37,0.0599267482757568,187.0,134.0,53.0
s,38,0.1074471473693847,208.0,155.0,53.0
s,39,0.1846258640289306,732.0,295.0,437.0
s,40,0.0428850650787353,196.0,133.0,63.0
s,41,0.1208822727203369,415.0,252.0,163.0
s,42,0.1385600566864013,480.0,238.0,242.0
s,43,0.1310441493988037,517.0,236.0,281.0
s,44,0.0940511226654052,296.0,149.0,147.0
s,45,0.138268232345581,426.0,223.0,203.0
s,46,0.073868989944458,232.0,126.0,106.0
s,47,0.0682628154754638,301.0,183.0,118.0
s,48,0.1344020366668701,291.0,186.0,105.0
s,49,0.1552810668945312,693.0,312.0,381.0
s,50,0.0887567996978759,127.0,127.0,0.0
m,0,,,,
m,1,0.1508622169494629,896.0,326.0,570.0
m,2,0.1690437793731689,1112.0,343.0,769.0
m,3,0.1840431690216064,913.0,308.0,605.0
m,4,0.1938879489898681,904.0,335.0,569.0
m,5,0.2709319591522217,1757.0,469.0,1288.0
m,6,0.2484200000762939,1289.0,453.0,836.0
m,7,0.3117499351501465,2048.0,554.0,1494.0
m,8,0.2813498973846435,2046.0,587.0,1459.0
m,9,0.4191322326660156,1079.0,418.0,661.0
m,10,0.2672200202941894,1318.0,469.0,849.0
m,11,0.1979961395263672,919.0,359.0,560.0
m,12,0.2652809619903564,1599.0,477.0,1122.0
m,13,0.1879010200500488,916.0,384.0,532.0
m,14,0.2222480773925781,1270.0,397.0,873.0
m,15,0.1645429134368896,1201.0,377.0,824.0
m,16,0.1336019039154052,1001.0,305.0,696.0
m,17,0.1674818992614746,547.0,298.0,249.0
m,18,0.3044102191925049,1885.0,502.0,1383.0
m,19,0.2482612133026123,1333.0,442.0,891.0
m,20,0.3028600215911865,2049.0,527.0,1522.0
m,21,0.2564222812652588,1386.0,450.0,936.0
m,22,0.2168860435485839,1437.0,498.0,939.0
m,23,0.2109229564666748,976.0,377.0,599.0
m,24,0.4705522060394287,1762.0,533.0,1229.0
m,25,0.1908690929412841,821.0,318.0,503.0
m,26,0.1884231567382812,1004.0,389.0,615.0
m,27,0.2033760547637939,1632.0,475.0,1157.0
m,28,0.2274239063262939,1297.0,426.0,871.0
m,29,0.2160308361053466,1474.0,447.0,1027.0
m,30,0.1934940814971923,1028.0,383.0,645.0
m,31,0.1813969612121582,1302.0,401.0,901.0
m,32,0.2389321327209472,1377.0,460.0,917.0
m,33,0.2473690509796142,1275.0,409.0,866.0
m,34,0.2365970611572265,1335.0,438.0,897.0
m,35,0.2557251453399658,1620.0,499.0,1121.0
m,36,0.3096940517425537,1847.0,521.0,1326.0
m,37,0.1855790615081787,898.0,309.0,589.0
m,38,0.2358269691467285,2098.0,574.0,1524.0
