Size,Instance ID,Computing_time,Obj,Cmax,Delay
s,0,,,,
s,1,0.047666311264038,142.0,110.0,32.0
s,2,0.1059339046478271,295.0,175.0,120.0
s,3,0.1119060516357421,321.0,210.0,111.0
s,4,0.1017529964447021,256.0,188.0,68.0
s,5,0.1004931926727294,397.0,216.0,181.0
s,6,0.1188480854034423,520.0,245.0,275.0
s,7,0.1248409748077392,527.0,261.0,266.0
s,8,0.1301362514495849,827.0,329.0,498.0
s,9,0.064004898071289,340.0,150.0,190.0
s,10,0.1312699317932129,668.0,280.0,388.0
s,11,0.1226520538330078,480.0,230.0,250.0
s,12,0.0605370998382568,290.0,153.0,137.0
s,13,0.1402862071990966,493.0,265.0,228.0
s,14,0.1132552623748779,496.0,268.0,228.0
s,15,0.0640928745269775,270.0,156.0,114.0
s,16,0.0947189331054687,526.0,212.0,314.0
s,17,0.0638060569763183,255.0,176.0,79.0
s,18,0.1693928241729736,465.0,242.0,223.0
s,19,0.1142539978027343,520.0,227.0,293.0
s,20,0.1908380985260009,1120.0,360.0,760.0
s,21,0.0954959392547607,297.0,195.0,102.0
s,22,0.0974218845367431,635.0,278.0,357.0
s,23,0.1148810386657714,498.0,278.0,220.0
s,24,0.10797119140625,326.0,189.0,137.0
s,25,0.0628540515899658,248.0,162.0,86.0
s,26,0.0809979438781738,258.0,190.0,68.0
s,27,0.0469300746917724,104.0,86.0,18.0
s,28,0.1193709373474121,390.0,205.0,185.0
s,29,0.078920841217041,286.0,169.0,117.0
s,30,0.0735297203063964,383.0,189.0,194.0
s,31,0.1067190170288086,480.0,229.0,251.0
s,32,0.1176092624664306,387.0,241.0,146.0
s,33,0.059385061264038,256.0,158.0,98.0
s,34,0.0794219970703125,272.0,169.0,103.0
s,35,0.1115059852600097,501.0,244.0,257.0
s,36,0.0879096984863281,462.0,219.0,243.0
s,37,0.0604772567749023,187.0,134.0,53.0
s,38,0.1070730686187744,208.0,155.0,53.0
s,39,0.1736738681793213,689.0,282.0,407.0
