Instance ID,exact,gnn,ls,gnnls
0,,,,
1,3213.0,,,
2,3238.0,,,
3,4028.0,,,
4,3784.0,,,
5,5011.0,,,
6,3526.0,,,
7,3947.0,,,
8,3319.0,,,
9,3648.0,,,
10,3416.0,,,
11,2944.0,,,
12,5301.0,,,
13,3675.0,,,
14,3169.0,,,
15,4435.0,,,
16,3927.0,,,
17,5275.0,,,
18,7080.0,,,
19,5467.0,,,
20,4551.0,,,
21,5556.0,,,
22,4187.0,,,
23,4775.0,,,
24,2648.0,,,
25,4908.0,,,
26,3461.0,,,
27,4527.0,,,
28,3681.0,,,
29,4533.0,,,
30,5197.0,,,
31,3677.0,,,
32,4550.0,,,
33,5881.0,,,
34,4226.0,,,
35,4143.0,,,
36,4159.0,,,
37,5053.0,,,
38,4874.0,,,
39,4132.0,,,
40,5309.0,,,
41,3758.0,,,
42,2818.0,,,
43,5371.0,,,
44,3214.0,,,
45,4181.0,,,
46,5167.0,,,
47,4080.0,,,
48,4064.0,,,
49,3084.0,,,
