Instance ID,exact,gnn,ls,gnnls
0,,,,
1,114.0,,,
2,212.0,,,
3,258.0,,,
4,186.0,,,
5,335.0,,,
6,520.0,,,
7,494.0,,,
8,568.0,,,
9,339.0,,,
10,656.0,,,
11,461.0,,,
12,277.0,,,
13,465.0,,,
14,281.0,,,
15,263.0,,,
16,494.0,,,
17,252.0,,,
18,430.0,,,
19,477.0,,,
20,803.0,,,
21,288.0,,,
22,448.0,,,
23,481.0,,,
24,302.0,,,
25,225.0,,,
26,183.0,,,
27,104.0,,,
28,348.0,,,
29,286.0,,,
30,342.0,,,
31,480.0,,,
32,312.0,,,
33,237.0,,,
34,272.0,,,
35,470.0,,,
36,287.0,,,
37,187.0,,,
38,208.0,,,
39,603.0,,,
40,192.0,,,
41,415.0,,,
42,391.0,,,
43,423.0,,,
44,234.0,,,
45,394.0,,,
46,232.0,,,
47,295.0,,,
48,275.0,,,
49,526.0,,,
