Instance ID,exact,gnn,ls,gnnls
0,,,,
1,20281.0,,,
2,10901.0,,,
3,25218.0,,,
4,17135.0,,,
5,13963.0,,,
6,23411.0,,,
7,20044.0,,,
8,34032.0,,,
9,12584.0,,,
10,14933.0,,,
11,19973.0,,,
12,13916.0,,,
13,17535.0,,,
14,24756.0,,,
15,20086.0,,,
16,21968.0,,,
17,25012.0,,,
18,24014.0,,,
19,30348.0,,,
20,42353.0,,,
21,26732.0,,,
22,20982.0,,,
23,22425.0,,,
24,20371.0,,,
25,15949.0,,,
26,16278.0,,,
27,17289.0,,,
28,32980.0,,,
29,29595.0,,,
30,14389.0,,,
31,25339.0,,,
32,14876.0,,,
33,36143.0,,,
34,27462.0,,,
35,42835.0,,,
36,29494.0,,,
37,16408.0,,,
38,19914.0,,,
39,25520.0,,,
40,34335.0,,,
41,14016.0,,,
42,26595.0,,,
43,13947.0,,,
44,13860.0,,,
45,28794.0,,,
46,24633.0,,,
47,16842.0,,,
48,35378.0,,,
49,34059.0,,,
